selected_text,sentiment
miss,1
very true and well behaved women rarely make history,0
nice,2
and with it can be online even after have to log off habbo,0
seriously getting hurt,1
living my life,0
heated,1
weak,1
morning to you too joe,0
misss youhhhhhhh,1
with,0
sorry can help it hopefully it rubs off on you,0
no one calls me anymore,1
suck,1
definitely not having any fun this weekend,1
damnit,1
just say no reeesee cup,0
wow,2
tough life,1
still in love with loser who left me,1
haha cool,2
nuggets game with everyoneeeee except,0
handsome,2
see ya twitts all tha time didnt get this one till right now lol and never get mines,0
had great shot yesterday editing pics now,2
currently watching american idol,0
southridge was moved week later cause of swine flu think,0
sitting in the parking lot by myself miss you baby couple min til gotta deal with then peacin out and hitting the gym,0
so all done with wow blogging eh huggles,0
but worth following re,2
too busy at work today to trash the cubes of vacationing team members,0
dreamt about monsters last night like little girl,0
lo siento but dint have enough room,0
seems that you and are all ex baristas commonalities ftw,0
it raining where am wish it wasn,0
love,2
its sucks that all diners aren hrs here anymore,1
beautiful lady,2
the sun has gone in,0
frat that too bad should be good show at least hoping so esp since it in bk,0
gosh no need to be so rude,1
awe wit the snap of my fingers nod of my head ur rain is gone lol thxs hit up afterwards,0
hahaha,2
back to work go,0
pooooor,1
poor,1
white shoes make me cringe,1
meant you are not lazy your work proves it,2
haha mon do you really want me too send it,0
will have my life back,2
up early for class blahh hang over kiddies,0
bestie,2
sigh still seos are submitting their client sites with part or no contact information on really don know how to make them read,0
sad,1
haha not sure what local is to you but if was then you have to fight me for it,0
they are interesting doesnt tweet much tho,2
now need to find the keynote one at least know where to go,0
wish my nicky were home too,0
desperation,1
goodnight,2
loving,2
if do that ll have no pc,0
that sucks,1
don see why not,0
thank you,2
great,2
coooolest,2
miss,1
have no idea but all white weird but not bad,0
fun,2
awesome,2
did not understand anything you said,0
depends where your drinking what your drinking and how many mates you have joke fails,0
will deplurk too buhbyeee,0
hated,1
in lazy sunday just had very late lunch and forget to buy pr we re on page,0
looking forward to the show tonight can wait for ol mate to,0
voting has closed,0
fish and chips for din dins,0
news flash megaredpacket your instant internet empire early bird launch check this deal out,0
going for walk in ni ½mme to test out new hiking equipment telescopic trekking poles boots coolmax socks,0
yukky rainy friday,1
prayin,2
figuring out how this twitter thing works,0
going to bed now thinks twitter way too much,0
interessanter,2
google adsense income down by in this months payment indian govt happy for falling publishers sad,0
me here again,0
hope,2
thanks,2
am stuck in,1
work at the group home,0
good shadow realistic tonsils,2
miss my brother more days till he gets bac to tennessee he said he was singing find my way bac to tennessee today haha,0
maybe going apartment shopping with ashley,0
hate the wait,1
wish me luck,2
omggg how were the crazy cobras wantewd to see them when they were in london,0
is currently watching supernatural whilst waiting for skins to come on,0
last song then really have to go,0
just got on twitter no friends to add none of my friends are in twitter,0
great day yesterday good win for forest some celebratory staying up drinks trip to an unsuccesful bbq and stellas in scream,0
is going to attempt to cook chunky beef mushroom pie tonight mmm hungry already,0
sheena othman happy mother day to all mothers in the world yet to experience the joy of being sorry but you ha,0
loved it,2
first impression is that it considerably slower,1
miss,1
post on my warhammer blog for anyone interested,0
happy,2
love,2
sucks,1
hope,2
feel,1
slightly less disturbed night after while which is good thing looking forward to some quality time with my toadtastic boy,0
that cold,0
back home man im hungry getting ready shopping,0
hotness personified,2
just got back,0
at home,0
cutee,2
ohhhh don know an older mature lady,0
pretty,2
need more songs to download suggestions ill take anything,0
urgh,1
good morning tweepsland makin it great monday,2
dinner with the family watching wild child in the car,0
someone in united states liked eleminis,0
is about to go buy his mother mother day gift,0
lmao ight im dun wit the faces lmao id rather see urs tho lol,0
sad,1
better,2
awesome,2
lol,2
beckett thanks,2
good,2
days till county raly had tak from it took me while,0
it was that serious well that sucks,1
relaxing,2
today we say goodbye to the second good friend in week from dmp but at least the sun is shinning and definately not working this pm,0
what no way no,1
sitting around doing all tired,1
te fake competetion,1
man with kickin to,2
awesome,2
eating nothing drinking water about to watch movie join me,0
but got the job done,2
don know who anymore,0
loving my new tv,2
sad,1
can just feel my mpg going in the toilet,1
seems like the only person over here doing postal voting for the upcoming election been there already twice to get the documents,0
not being mean,2
has no idea wtf,1
catching up on holiday expenses and two weeks of gift grub,0
wow honestly not surprising every time they try to push that guy he gets injured,1
wooooo twitterberry is working again good morning everyone,0
so go back for more,0
sad,1
they don know that like him cause ve never ask them bout him oh well guess your right feel abit better now,0
my teeth and head hurts,1
sweet,2
hope feel better,2
not many sources here in,1
good,2
early phonograph industry done just the rest of apm to revise and only berry the green rabbit and ribena man for company,0
how wish my parents put me into chinese school when was younger,1
nice,2
thank god,2
get well soon,2
that that great present for all mommie,2
ll be thinking about how many goals united are going to knock past city how bout you,0
you got your lion hoodie mines still week or so away what number is yours,0
lol there go that the spirit haha,2
hey guys going to create an iphone app that twitter client called tweetilicious please me your thoughts,0
bettering,2
beautiful,2
gonna miss the show at whitby for the weekend btw love your show radio is always on ly,0
pleasure,2
driving back home because forgot the piece of cake for,0
lauren is amazing well from what see on the hills lol seem like great friend to have,2
fighting sore throat few more days hard training then rest next week for sunday race oooohhh sun out nope gone,0
lack of sleep leads to major head ach,0
my fav song is uh honestly its rude for to make us choose lol love em all,0
miss ya,1
can sleep throat dry as hell ugh still gon wake up fabulous,0
that great idea,2
happy,2
listening to the cat snore,0
lol,2
loveeee him,2
lovely,2
this day will pass slowly all of these days will rawr,1
idiots,1
have to work tonight,0
happy,2
go get some fresh air to refresh mind,0
thanks,2
me and ari,0
me are laying in the back of fox truck on the drive down to the race lol,0
nutt got new collar and leash today,0
favorite,2
it really warm day in seattle,2
and it starting to get cold,0
just little too far,1
dont even need to go to the options the button is right there on top right corner,0
duncan finally got his orders leaves for iraq in september open invite to stay with me anytime during the year he ll be gone,0
listening to broken by lifehouse on repeat,0
amazing,2
good,2
you re an amazning actress,2
love,2
going to go check out dj volt,0
let down,1
cant wait mate it is goin to fantastic,2
wanted to sleep but friend from denmark just poked me on im,0
the first thing she said means your new album is really good and the second thing don broken am persian,0
busy wit work how is your business going on,0
goooooodmorning,2
great photoshoot,2
my dog nemo cause he wimpers every morning when leave,0
love,2
thank yo,2
loveeeee youu,2
not where live,0
watching cqc brazilian humor program,0
unfortunately,1
expensive,1
oh em sorry wuv you to pieces,1
st ty to those who follow back nd grrr to those who don cuz it messes up being able to follow others want to when ur at,0
had someone tell me tonight there are only states to be in qld and pissed,0
just too fancy,2
not at the moment well cant find it yet lol,0
psyched for mother day at the gkr party and teaching mom and dad about baseball,0
thank,2
won be ready til,1
just plain go crazy,1
at least it friday working til am,0
awesome,2
impressed,2
allo there twitter how are we today,0
painful,1
look the rosemary in my back garden in camerabag lolo mode,0
yep im very jelous too id love to be in miley position haha,0
can wear,1
am here to make friends real life internet what ever level people are comfortable with,0
where do you get all those wonderful toys,2
hey free,0
want to talk with but the calls are so expensive love you,0
what waste of lives,1
still waiting for the oprah touch,0
better than work work minutes for lunch work work work actually it might be don work very hard,0
sometimes wish had my own prototype mentor,0
last late late with pat kenny bless,0
im not happy,1
she says yes shall we say,0
what focused on tom so much didn see my beloved barack oh no must vote for both poor president only has votes,0
ill be alright but the whip may not,0
glad,2
mmm someone come havelunch with me,0
new on twitter hi everybody suggestions for me,0
hugs,2
greeeeeeeeeeeat,2
good luck in your first day ju,2
sick,1
wishes the rain would stop so my stupid headache would go away,1
microsoft has released zune also in europe no hd for us,0
and to you too,0
happy,2
school and work that it really what about still in sac or am tittle late,0
been working lots of overtime this week only just realized booked half day tomorrow so this week will just break even,1
can you dig it sucka booker former wwe wrestler,0
looks like anna and josie are getting new cousin today and this one is girl,2
is tired an,1
annoying,1
happy mother daaay,2
love,2
morning about to tackle armhole prob may have solution not involving tape will update you,0
can rome without ceasar,0
my dad just bought me both of these they re tricky language tho,0
no blood drives in my area ll keep looking,0
missing,1
sorry,1
whats up rick,0
depressed,1
stupid wireless wont work,1
home from school today,0
good,2
now totally addicted to farm town frankly it more fun that fixing laptops or studying the diseases that will kill us all,0
cool,2
hate,1
guessed my leg havent healed from the old injuries but can still run though and kick ball haha but will sometimes fell sharp pain,0
leaving wildwood tomorrow but luke says we will be back soon,0
scary,1
it was good,2
hoping,2
amost there,0
happy,2
it hurts that pets cant talk back to us what if they are in pain ho,1
so after church went to the mall with my parents got new backpack that can fit all my schoolbooks and my laptop,2
can believe my little brother is married,0
down,1
so cold,1
loved,2
nice,2
it was amazing,2
loved,2
don understand,1
watching some movie and playin on my computer,0
super tired,1
shall post notice in town so us cork ladies know to watch out lol you had fun then sevens were the business,0
happy mothers day,2
lovey,2
aww sorry boo haven bought printer in years my canon is still making amazing prints have zero fisheye exp,0
no problem,2
it blockbuster week in new zealand,2
nice,2
do believe my camera phone is stuffed stupid blurryness,1
hi wanna see again again with me ll fly to cali and see it with you,0
blogtv was fun can wait til next time,2
lot of work and not enough help,1
smells delicious,2
well there you another twiiter person erm difficult to say really let just say that you could fit all into minibus,1
tired,1
epic fail with the chocolate fountain that got clogged,1
just wanna be better already,2
fun,2
thanks am trying keeping my chin up ouch,0
they gave me regular coke instead of diet really,0
been playing with the new phone think got it all figured out,0
omg want full jb hey baby song,0
tinkered with open source virtualbox win yet would ve loved to have seen you hay always unfortunate timing for students,0
think the sun and the moon are god way of reminding us that he always watching over us,0
watching twilight and eating potato salad,0
life is sweet,2
also is there strategic it plan that maps to the bus strategic needs that deliver value over time no more waterfall,0
enjoy,2
very sorry,1
back home again bathing kids ironing clothes for hubby nephew graduation tonight remember when he was,0
glad,2
is texting,0
has headache,1
on my way to school of my last friday of high school ever and don even get to see holly gabbie and hannah,1
better check youtube,0
cant get through,1
no clubs no parties ive spent my friday and saturday night workin on music and am quit content,0
wish could sleep but got to attend to an important meeting,1
he won reply,0
won,2
fav movies,2
hey that my bug and my martini glasses,0
for those of us who hearts break little more this time of year know that you are loved and next week is new week,0
dead,1
safe,2
yo there if you guys want to make road trip look me up in waraw or wait too long taipei,0
had great weekend,2
what the hell,1
dreamwidth new journaling site that just went into open beta,0
nice,2
so getting the cold,0
bec vs fat food winner fat food but not this weeknend ill beat it,0
sad twits going to miss musiq soulchild and anthony hamilton ugggghhhh love them,0
yay getting the iphone in august,2
who the one always working now oh yeah still me,0
oh great think getting sick,0
awe am sorry probably true,2
have no idea whether or not to drink anymore,0
happy,2
jus got done swimming soon ima need to stay outta the sun,0
good,2
heeeeey baby where are you,0
contemplating whether or not will go to prom as listen to my playlist somethings tellin me it might be you stephen bishop,0
alone,1
is back in fine old melbourne town,0
thought it was boring,1
badly,1
yeah they re great,2
thanks,2
chaos,1
so mad,1
mozert requiem tonight,0
misses the good old days,1
my birthday is week from today,0
unfortunately,1
slept really well,2
wish,2
cool tempted too see it again feel sorry for jb though because there were hardly any people,0
haha go martin his fixed our ski like million times,2
not fair,1
careless,1
nice one,2
hate it,1
thanks,2
sorry but lol what is this about waitt you think your mum would still let you do bday stuff this weekend,0
hey you that kinda mean dont yu think,1
blind faith,1
has work this afternoon,0
how inconsiderate,1
if aint bee then it aint me ya heard me this for keemie,0
can take it,1
can believe it,1
nooooo serena and darrian don remember each other and ve been waiting all day to see them confess their love,0
has got degree in bs,2
just read an article that buying ip doesn necessary mean to get developement teams does that mean,0
nite nite my fellow tweeters goin to put ma ipod in listen to some westlife missin those guys then headin to sleep early start am,0
thanks,2
concur,2
ohh shardup hehe hes hot lah gotta admeeet bleh,0
not feeling well,1
confused,1
sad sad,1
wonderful time,2
care,2
nothing like home made paranthas for breakfast,2
hey bettiye did see her stay tuned for videos and blog hows was obsessed need to get thru exams then imma watch it,0
meant awesome christian artists,2
please don vote for her out of sympathy,1
love that birdy nest,2
missing lol plaid bud haha can do the bg right,1
about to make happen,0
if all say so trust you on that one,0
happy mothers day,2
not helpful,1
night,2
jay leno has one more show left as the host of the tonight show,0
fat fingered the coke machine so am drinking diet pepsi instead of diet dr pepper wish the machine used error correction,0
no one to do it,1
ff to work now apparently sun shining not valid excuse to stay home,0
sorry to anyone,1
my fav movie,2
hope,2
no in the us for the weekend not the uk,0
yeah guess my password was also changed was not able to login my fb cahnge my pw again ufff,0
he was really nice,2
boooooooo,1
has more followers than me wanna be as cool as her follow her so that will never happen,0
very exited,2
if in doubt wash separately normal concern is something fading onto the white,0
had to cancel subscriptions today to nzz and economist at office costsavings luckily they also have online versions,0
cleaning out my desk ve found betting slip from three months ago stuck tenner on newcastle getting relegated in the money,0
fucken tired as,1
its so obvious holly will go thru on the public vote straight away sooo obvious then aidan and greg for judges but neither should go,0
not so awesome now huh lol,0
thank chu,2
fun,2
volunteering at down syndrome indiana on wednesday,0
want my katie,0
in filipino if say nakuh grabeh it like sayin omg,0
sometimes wish were man could pee were stand and scratch my chest but instead here lies breast hah,1
thats actually not that fun as you would think,1
good morning,2
feel like death evil headache,1
apparently its star wars day today so may the th be with you,0
thought follow friday was about gaining new friends not losing them,0
what brings you to our fair island today,0
ache,1
was going to hidden file it and you re thinking about youtube so nott lol hey put the phone down and more swimming,0
wish,2
don leave us,0
feel lost keep running in my head from staring faces haha basically headache eyes hurt,1
much appreciated,2
love that joan rivers says it family first,2
love you mom,2
hoping that this will just heal on it own because anything put on it just makes it worse owww,0
hope,2
hope,2
one of the estate agents next door just caught me singing along to wham,0
was actually done by my cousin,0
bad,1
have no idea,0
,1
have trouble updating,1
why did sound input for my computer stop working it not the mic or jack usb webcam mic doesn work either checked input controls,1
heheh qualifying was pretty exciting tho,2
loveeee ny getting breakfast then gonna go mimis sooo tiredddd missing him odeeee love you,0
know just got off the phone with them it will leave giant hole on mill regions also closed,0
sizzling outside work inside double,0
sadly,0
so sorry,1
overdue,1
no they didn,0
speaking of which we need to talk soon,0
hi jonas brothers you came to argentina la otra vez,0
don see how there could possibly be another choice,1
oh chris so sorry about mr raccoon obviously not female cuz any female of any species would adore you hugs ang,0
home for the night to hang out with my mom and study,0
researching nyc stuff,0
my face an my arms tragic seriously,1
me too thats why im driving down to cali in july for hin pleasanton,0
sob cry,1
man can stop being freakin hungry,0
my goodness go single and goes crazy haha this like being single too much do what want holla,2
have poop on my shirt and insanely cracked screen on my iphone daaaang,1
better than nodding off when you re in one lol,0
awesome,2
haha yes there lot to be said for nekkid religion,0
fine,2
yes it definitely paid off thanks the advice,2
miss,1
mis,1
ss for another good movie also thanks to my movie buddies,2
cracking night last night,2
had the best weekend ever,2
playing man utd kick off champions league nd leg lol,0
glad to be home,2
this is horrible day,1
might buy some ipod apps later hmmm,0
gets to go home here until,0
dear he here omgogmgo didn see that was going to,0
awesome,2
fabulous,2
iam eating pizza want some haha,0
greatly appreciate,2
too bad,1
nice to know,2
love,2
twee tweet lol,0
sorry,1
brittany moved,0
sucks,1
grad present photos on facebook,0
thanks,2
happy,2
respect,2
laying in the bed boreddddd,1
sitting on chloes little trike thingo its girraffe ill most probobly get yelled at with in the next minute or so ohhh well,0
boring,1
cant find my red lighter that reminds me of amy,0
sure willl,0
big sad old loser,1
good luck,2
that was such an old man thing to say,0
love,2
marvelous,2
were you born in barn would you like some hay youtube the mother song,0
both she and it are crushed,1
got me dark red hair dye going to get some bleach,0
so exicted,2
hope,2
hope can find store to take us,0
everyone get buckonellen one of the topic things,0
love,2
cant wait to do some of those things,2
looks like both to me alison,0
is making breakfast,0
perhaps because it am minday morning,0
gutted,1
just reminder to hydra clients to check your email for important account updates,0
finallyy done and done clean lay down time bed goshh its clock lol nite nite twitta heads,0
sick,1
don like,1
it official the twilight saga has ended sigh my life is empty,0
good,2
totally forgot,1
good morning,2
ugh can breathe,1
yay,2
happy,2
what worse,1
feel really bad,1
,1
frustrated,1
much prefer,2
just dyededed my hair,0
stuck with boo jeeeez shoot me now,1
works like charm,2
endometriosis,1
giving up on you don care how you mess up your life now,1
shareeee,0
needs yummy breakfast,2
happy mothers day to all the grown happy the lil prego smuts lol just playing everyone is loved happy mothers day god bless,2
loves it when mom and dad come to visit nothin better,0
love it have great job,2
ooops sorry,1
want alexis bledel back on screen every thursday night,0
hate screaming children guess hate screaming children besides my own now,1
devastated,1
wordsaftersex ow rug burns,0
places to find you if you re not home marilyn and seria beach,0
wiff,1
not feeling too good at all,1
hahaha,2
wait till the vacation ends shud be cycling lot then,0
ugh,1
so boring here,1
they are very cute,2
amazing,2
can sleep keep thinking about the puppy played with today,0
nvm just got ur message that ur sick,0
happy mothers day,2
have right to be sad,1
boring,1
thanks,2
love,2
apparently haven tried the site tho maybe will get better results,2
noooo,1
made me smile today,2
super hungry waiting for my biotch to feed me,0
seeing love at the club actually made me,0
would never break the law no never,2
but you ll get it right,2
what wonderful day,2
morning sunshine,0
yes nice missed lot of fun exams you are looking good hair,0
hopefully,2
really wants to go see ai tonight,0
feels strong contractions but wants to go out,0
will have to pare down his collection of portraits of and bangbang,0
this is how we do itttt,0
my to do list is bananas before leave for europe boooo,0
it gets hurt everyone is in pain,1
best,2
happy,2
oh don really have much of an opinion on her either way it just night to rip everything,0
got much do nite bored in bath still hav wash dry straight hair get clothes ready etc,0
am not doing much all well,1
boring,1
know anne and judy,0
those workmen extending block can start this early surely its am and already they re making racket and woken me up,0
broken,1
waiting for danny to text me back xoxo,0
pleasantly,2
my teratoma has cavity and is experiencing male pattern baldness,1
lucy is hating on my gweg,1
oh what up,0
bad,1
just found out that my husband grandma fell down the stairs is at the hospital with several broken bones praying hard,1
quick thoughts tired happy satisfied entertained excited oh and bit in love,0
way to hungry to even think can go to work on an empty stomach like this,0
unless you mean the hours week use for sleeping yeah suppose could use those,0
im eating sliders at barjohnnys theyre pork tho not beef still on the search,0
how are you what are you doing answer me plz,0
weird,1
,1
this is not my day,1
one sunday night at helsinki we hadn drink anything xd yeah right,0
morning im up and ready weeee its sunday,0
was gonna text and ask what puff meant,0
fun,2
yeah but too late hun lol,0
no fun,1
seeing quite few proto furries here now that think of it acen,0
boring,1
like that,2
too bad,1
inability,1
off for run moon day is not that bad after all fb,0
very much so you know am coming now on thursday too right are there door sales,0
yep exactly and really sad about this tour know gonna cry at my last,1
there only one more cherry dr pepper left in the fridge thank god im addicted to that stuff but it does sad things to my skin,0
forget something this morning,1
hey rda cla presentation was too large to post sorry,1
it is an awesome time,2
and until soy beans have teets soy milk is not milk,0
disapointed,1
on my way to driver training,0
having baby girl in the next days think gonna keep this handy funny stuff,0
hahahahahahahaa,2
all warm,2
workin,0
season of lie to me was serious now here comes the wait,0
as hopin,2
this is funny,2
soooooo good,2
feel like complete too,2
fantastic,2
best,2
next time,0
he probably not though,1
the holy cow is what did this to me,0
you lucky girl also wanna see them again lol wish they come to europe again but doubt that,0
right now on my justin tv channel weeks until my gf has newborn,0
poor grace you need to date cute male nurse,0
happiest,2
wave would trend higher that bing,0
disappointed,1
watching because said so happy mothers day,2
st day of work today was bit tiring but ok lol now onto college work,0
tired,1
horrible,1
goo,2
fail,1
their coming tomorrow morning and it sort of an impossible task just need to clear some space thanks though,0
you poor bugg,1
so fun,2
sad,1
fun,2
it because finished the recordings,0
night twitterverse thanks for keeping me entertained,2
make prank call for me,0
really rather drunk drunk thoughts how am getting to work tomorrow is loz alive does gandhi read comic books we will never know,0
my sympathies been here minutes and had enough will escape soon,0
howz it going hun,0
sitting around wanting to do something any ideas,0
miss,1
care,2
wish,2
yummy,2
believe that is true fml is quite the phenomenon all thx to superbad,0
haven used twitter in awhile bgt drawing summer finals,0
omg got explosion of new followers hello new followers,0
been while since ve been on bogged under with exams eugh at least theres only left britains got talent,0
am talkin on da phone and typin at da same time,0
no where to go,1
really should be studying ll start soon,1
more to thank for ff shouts and heaps more sry will be here all night now realis,0
bored,1
miss yo,1
it raining that fine rain,2
sorry missed your post earlier about edinburgh am biased towards its awesomeness glad you enjoyed your visit,0
dont want you to go to india,0
why the hell did leave kilkenny,1
lol oh man can un twit something haha mean my lean mean fighting machine sooo can believe you called me out,0
dummyhead,1
ok so any ideas of what to do tomorrow to make it fun cause dont know what to do,0
going to obu for the night,0
awesome,2
when are gonna host saturday night live ve been waiting for like yearsssssss,0
no it doesn sheesh,0
forensic mein kya hai bas rat te jaao and micro havin micro exam soon the lab diagnosis of all individual bacteria,0
michele but sometimes not having to say nice things all the time is kinda fun teehee and now ll put this back on as well halo,0
ll save you,0
just got home from drews bday,0
think this ll be good place for my rants,2
proud,2
am currently doing few posts on my business blog check it out if you like it,0
you need to follow me so could send you direct message,0
what was said,0
brazil looooooooves you,2
,2
tell him today it his last day,0
oh well ve never seen him do anything before so not gonna say anything,0
chillin with the rents and looking at hilarious old photos well funny,2
annoyed cos this weekend going to be hot bloody working,1
yeah ill make sure keep you updated get it all delivered,0
we love you too,2
glad,2
cleaning cleaning cleaning today then working out love not working,0
the sad thing is,1
ouch my earphones just shocked me,1
very out of shape,1
se none of my friends liking,1
poor baby girl chloe is freaking out because of all of the noise she so cute and pitiful hiding under the middle of the table,0
discriminating,1
would you believe that done with homework for the rest of my life,0
there just something about sexy blonde rubbing herself in field,0
love,2
sad,1
its so not cool that is why tapes were better,0
miss you too,1
law and order yeah stay home on sat nite,0
nice find,2
an incredibly great day hahaha,2
awww thank you,2
did dat time my boss text me saying tweet me my office after dis tweeting is ova havent dun it since,0
roughnight,1
excited,2
love it wh,2
will,2
rainy day is rainy,0
loved it you re amazing,2
don know how you do it,0
excellent idea,2
finally feels like nice summer day and feeling sick,0
happy,2
listening to yultron,0
no not going,0
appreciate their wives,2
chapter probably on monday still need more comments,0
actually think the na release date was confirmed for september so it bit more of wait,0
hope so,2
tried calling work times and they wont answer,1
tired exhausted and dissapointed,1
best ja,2
wants somebody to cheer her up,2
wonderful,2
kick her,1
aww thanks,2
empathise luvvie dont personally understand grown mans need to dress in tartan in search for little white ball,0
nice,2
brain just went blank,1
going to see angels and demons tonight it better not scare me,0
it will give me lulz from time to time,0
getting up,1
not good,1
well yes lol had chat with them earlier there just not willing to learn anything else,0
the video is private cant see it,0
wow slept in with no dolidh here to wake me up,0
met him hes from where live he goes clubbing the same places lol dont get twittter,0
major iphone problems wont let me send texts but can do everything else can anyone help,0
my music collection will be coming up to gb soon haha,0
it depress,2
yeah yeah less degenerate than current occupants of house of reprehensibles you can bet on that like minethatbird,0
this time lost my wallet,1
thanks,2
so funny but right like bsb but im not as fan than love much better tupac tlc bad they re not singing anymore,0
just making sure,2
can seem to find the new mountain dew throwback in packs only in liter bottles,0
down,1
cooler,2
female and male year old labs looking for new home family is loosing their home both must stay together contact me if interested,0
takin short nap gym and work before kids come back home tonite,0
happy,2
hate,1
great,2
sunniest day in ages and im in bed,0
,1
pretty bored but refuse to study,1
me too it goes to my phone so all night long sometimes my phone is blowing up so nice to wake up to,0
cute th,2
boss just texted me have the day off yes yes and yes again,0
sad,1
unfortunately,1
lovely,2
forgot,1
think picked bad wknd,1
st day of master cleanse wish me luck,0
amazing right now,2
stuck,1
always offtopic and sometimes inappropriate,1
yum,2
will do may just have to keep it on my shelf with the rest of my old cameras,0
cried like baby when we had to put our cat down years ago for tears of happiness watch th,2
hates,1
excited,2
sunburn,1
be ok you,2
you guys look so nice,2
goodnight,2
while you awake,0
thanks ugh what bad bad day ve had,1
loveeeee her,2
till then ice cream,0
only get bubble tea during the cambodian new year only once year when do stand in line for over min,0
better,2
welcome home babe,2
oh and forgot my cell at home thankgod for this crackberry,0
yard house too packed three people deep at bar went to pf changs got right in,0
need blankie this trains an icebox,0
wish had left dead but first need something to play it on,0
that cause ovie is the one man team and when they show pens highlights it the whole because we have more than superstar,0
awww where you get that hugh is so thin no traces of being wolverine yet btw who that other guy besides rdj,0
pick up that as fast you can,0
trivia working no computer,0
knooow want to sail,0
need to go to atl mainly just to go to ikea the stuff want isn available online,0
exhausted,1
cancelled,1
will love,2
ebay mile rule not working for me too many pairs of leather trousers being sold in aberdeen will try next week,0
it not going well,1
much love to ya,2
wkds are the worst feel like hostage,1
possible case of at ft knox ky note this is for info purposes only so there still no need to panic,0
healthy,2
miss,1
want more followers,0
she my hero and rocks my socks,2
he he will send it thru anurag,0
feel somewhat accomplished,2
that is awesome the hm was tough for me,0
that never made it to the uk,1
wow nice roar see good things in your future,2
don feel so good,1
they certainly warmed mine,0
really love this picture,2
was at the outlets too,0
last night was awesome,2
ache,1
good,2
could be,0
god you guys ll call you guys three way to discuss,0
ma need you to follow me real quick cause can dm you,0
guess it worth the wait,2
me gets your video will start in seconds exiting to watch for minutes flash linux fail,0
great,2
funny,2
lol,2
mamma who bore me hat es mir echt angetan li ½sst gri ½i ½en,0
omfg whyyyyyy not that sucks,1
aww hope find it soon miss it,2
missed it,1
interesting,2
miss,1
my boss won let me leave either,1
would do followfriday but everyone on my list is already on everyone elses list so what the point just not popular enough,0
darn,1
tweettttt,0
guess im stuck with this uglyonee,1
look at how far away ve gone locked away in room trying to work in silence and yet constant urgent emails and im persist,0
dammit,1
thanks there men version in june it very popular,0
sorrry,1
right my fellow fluffy flasher must go to bed sorry hope everything is working properly moro and we can chat love,0
good,2
were gonna go crazy before you leave,0
after years of trying my cat today figured out how to open the under the sink cupboard time for target run to buy safety locks,0
hey how are you,0
yes yes it is,0
stop making fun of me,1
it would be amazing,2
good morning tweeple of the sun what you all up to,2
great,2
have to pee coffee sooo long until break time more letters what to write what to write oh used them all up,0
should be going nfg tonight,0
tired,1
called and called think you should answer more haha,0
dude im sleepy and went to bed as soon as got home whhaacck,0
lol nah no swine flu for me bro lmao what ur schedule like this week need to catch up,0
pokes and runs away,1
looks like the gm bankruptcy is going to happen this loss will help offset the gains that had earlier in the year tax wise oh well,1
best picturisation ever,2
simply awesome ra,2
itunes music library is even bipolar,1
is having profitable day looking forward to sunday gonna be great day sad too because it the th graders last day,0
had drums but they where made up of other peoples sets so had to give them all back,0
yupp better than people being rude to her,0
my first thought too ve never even watched dragonball,0
dude can safely say was blown away when heard attics,2
sooo saw robs car drive by but that was about it,0
aaaw too bad in good mood to phone with someone lol,0
heylo johnn im huge fan hope ur day is awesomee cuzz im home sick and its kinda less than awesome anyways peace,0
annoyed,1
haha your loser ily,0
making logo on photoshop it didn work out hehe try again lah,0
cooking brown rice,0
before you wake we sink ships photography exhibition is online please have look,0
didn want to,1
argh interested,0
as any been up all night like me and now the birds are keeping you awake,0
morning hows your day hope you re not another lying in the sun,0
thank you so much for being so kind,2
you both have so beatiful eyes,2
making an imovie of college,0
please make the livechat on saturday cus have to go to school on weekdays am here,0
just woke up,0
how can read the floyd article says it private,0
fun,2
think it fun,2
happy star wars day,2
have read it but not sure you would have wanted my opinion,0
morning tired should excercise or jus relax need to catch up on sleep ladies would you like to see shemar moore embassy hit me up,0
so glad my concert is still week away getting so sick and need the time to recover my lungs hurt so bad right now,0
,1
yay,2
love,2
supposed to be great weather today moro just my luck im stuck in work both days,0
has no internet for the weekend,1
whens your little gingg getting twitter from,0
going to open up proverbs and get as much wisdom as possible hungry,0
love,2
good,2
thanks,2
,1
duhhhhhh,1
,1
am still cant sleep,1
crappy,1
all done with my work,2
lol,2
and why can toy story come out this june,0
been sick,1
good,2
miss you,1
kno she disappointed in me,1
waaah masseuse is fully booked no shoulder rub today,0
venti black ice tea with pumps of classic,0
happy mother day,2
spat,1
wonderful,2
have to go to the doctor don want to cause there can wait sooo long,0
completely dumb,1
ll never get what want,1
happy,2
britains got talent just gets better every week,2
awesome,2
out with the guys playing pin doing mexican great combo my bowling was not so good though blame it on my previous broken arm,0
sure all will fine and dandy thanks,2
it beautiful outside,2
aww,1
oh am sorry my friend katie will do our best to keep you cheery,0
he already got shot at having his own show and didn prove himself,0
thankyooooou,2
not impressed,1
miss my doggy my hammy my turtle my fishes,1
this is so exciting,2
mymaths time if only cud read the mind of nerd durin the exam,0
ur friend sent me,0
an amazing song,2
good god no,1
have great summe,2
ce grade mock,0
other people have their glasgow ones standing and seats for all nights,0
miss,1
small we cant choose,0
anymore,0
wishing my days off were the same days that people wanted to party,0
whar night woo hoo yeah beautiful night to party oops stapler,0
finally home for once after dope week,0
